Model,Best C,Accuracy,Precision,Recall,F1 Score
Logistic Regression,Default,0.9564796905222437,0.9777777777777777,0.6717557251908397,0.7963800904977375
Tuned Logistic Regression,100,0.9787234042553191,0.9739130434782609,0.8549618320610687,0.9105691056910569
